"date","name","Age","Pos","Squad","MP","Min","G.A","xG.xAG","KP","Tkl.Int","Save.","value","JoueEurope"
2025-06-02,"Derek Cornelius",26,"DF","Marseille",21,1420,0,0.06,4,38,0,5e+06,TRUE
2025-06-02,"Dennis Appiah",32,"DF","Saint-Étienne",29,2128,1,0.1,13,100,0,8e+05,FALSE
2025-06-02,"Denis Zakaria",27,"MF","Monaco",26,2144,10,0.28,16,75,0,3e+07,TRUE
2025-06-23,"Denis Genreau",25,"MF","Toulouse",8,222,0,0.31,5,10,0,8e+05,FALSE
2025-06-02,"Deiver Machado",30,"DF","Lens",27,1805,5,0.22,20,52,0,3e+06,FALSE
2025-06-22,"David Costa",23,"MF","Lens",11,352,0,0.41,6,3,0,8e+05,FALSE
2025-06-02,"Darryl Bakola",16,"DF","Marseille",2,14,0,0,0,1,0,2e+05,TRUE
2025-06-02,"Dante",40,"DF","Nice",25,1964,0,0.03,4,66,0,5e+05,TRUE
2025-06-02,"Daler Kuzyaev",31,"MF","Le Havre",12,567,1,0.12,2,22,0,3500000,FALSE
2025-06-02,"Cristian Cásseres Jr.",24,"MF","Toulouse",32,2696,4,0.12,27,138,0,6e+06,FALSE
2025-06-02,"Corentin Tolisso",29,"MF","Lyon",32,2329,11,0.4,31,79,0,1.2e+07,TRUE
2025-06-02,"Clinton Mata",31,"DF","Lyon",29,2370,4,0.06,11,87,0,3500000,TRUE
2025-06-02,"Clément Akpa",22,"DF","Auxerre",31,2486,1,0.04,8,97,0,5e+06,FALSE
2025-06-02,"Chuba Akpom",28,"FW","Lille",14,639,4,0.78,5,8,0,7e+06,TRUE
2025-06-02,"Christopher Wooh",22,"DF","Rennes",20,1456,0,0.09,2,59,0,6e+06,FALSE
2025-06-17,"Christopher Operi",27,"DF","Le Havre",13,1169,2,0.19,24,27,0,3800000,FALSE
2025-06-02,"Christian Mawissa",19,"DF","Monaco",22,1501,0,0.01,1,68,0,1.5e+07,TRUE
2025-06-02,"Charlie Cresswell",21,"DF","Toulouse",31,2592,4,0.17,5,63,0,1e+07,FALSE
2025-06-02,"Cédric Kipré",27,"DF","Reims",28,2190,1,0.08,10,74,0,3e+06,FALSE
2025-06-02,"Cédric Hountondji",30,"DF","Angers",3,270,0,0,0,10,0,1200000,FALSE
2025-06-02,"Carlens Arcus",28,"DF","Angers",28,2047,1,0.06,17,79,0,1800000,FALSE
2025-05-26,"Caleb Wiley",19,"DF","Strasbourg",6,266,1,0.24,2,5,0,8e+06,TRUE
2025-06-02,"Brice Samba",30,"GK","Lens",15,1350,0,0,0,1,81.5,1.2e+07,FALSE
2025-06-02,"Brendan Chardonnet",29,"DF","Brest",27,2416,1,0.07,8,74,0,6e+06,FALSE
2025-06-02,"Breel Embolo",27,"FW","Monaco",29,1841,10,0.8,32,25,0,1.2e+07,TRUE
2025-06-02,"Bradley Locko",22,"DF","Brest",2,97,0,0.02,0,3,0,9e+06,FALSE
2025-06-02,"Bradley Barcola",21,"FW","Paris S-G",34,2181,24,0.97,50,46,0,7e+07,TRUE
2025-06-24,"Birama Touré",32,"MF","Montpellier",8,300,0,0.04,3,14,0,8e+05,FALSE
2025-06-02,"Bilal Nadir",20,"MF","Marseille",15,383,1,0.24,7,14,0,5e+06,TRUE
2025-06-01,"Bilal Brahimi",24,"MF","Nice",2,76,0,0.07,1,0,0,1200000,TRUE
2025-06-02,"Bernard Nguene",17,"FW","Nice",1,13,0,0,0,0,0,1e+05,TRUE
2025-05-25,"Beres Owusu",20,"DF","Saint-Étienne",1,90,0,0.03,1,2,0,350000,FALSE
2025-06-02,"Benjamin Lecomte",33,"GK","Montpellier",30,2700,0,0,3,0,64.2,1500000,FALSE
2025-05-27,"Benjamin Bourigeaud",30,"MF","Rennes",1,80,1,0.17,0,3,0,7e+06,FALSE
2025-06-02,"Benjamin Bouchouari",22,"MF","Saint-Étienne",25,1772,1,0.08,16,50,0,5e+06,FALSE
2025-06-02,"Benjamin André",33,"MF","Lille",30,2692,3,0.11,21,151,0,5e+06,TRUE
2025-06-02,"Ben Old",21,"FW","Saint-Étienne",13,528,0,0.31,9,9,0,7e+05,FALSE
2025-06-02,"Becir Omeragic",22,"DF","Montpellier",22,1799,0,0.02,3,45,0,4500000,FALSE
2025-06-02,"Baptiste Santamaria",29,"MF","Rennes",10,482,1,0.07,4,23,0,7e+06,FALSE
2025-06-02,"Bamo Meïté",22,"DF","Marseille",3,26,0,0,0,0,0,4e+06,TRUE
2025-06-02,"Bamba Dieng",24,"FW","Angers",18,532,3,0.53,1,4,0,3e+06,FALSE
2025-06-02,"Bafodé Diakité",23,"DF","Lille",31,2766,5,0.08,3,58,0,2.8e+07,TRUE
2025-06-02,"Badredine Bouanani",19,"MF","Nice",26,1099,6,0.42,20,22,0,7e+06,TRUE
2025-06-02,"Azor Matusiwa",26,"MF","Rennes",29,2078,4,0.13,17,98,0,8e+06,FALSE
2025-06-01,"Ayman Aiki",19,"FW","Saint-Étienne",5,127,0,0.09,1,4,0,4e+05,FALSE
